datetime,Mean_temp (K) 16,Mean_temp (K) 17
4/9/2019 7:20,243.7571569,243.6427112
4/9/2019 7:30,243.7277107,243.6248672
4/9/2019 7:40,243.7059635,243.6014419
4/9/2019 7:50,243.6868246,243.5671889
4/9/2019 8:00,243.6549182,243.5395408
4/9/2019 8:10,243.623001,243.5119537
4/9/2019 8:20,243.5969444,243.4796105
4/9/2019 8:30,243.5666266,243.4465924
4/9/2019 8:40,243.5348251,243.4200587
4/9/2019 8:50,243.5070936,243.3564739
4/9/2019 9:00,243.4790772,243.3636989
4/9/2019 9:10,243.4540869,243.4239813
4/9/2019 9:20,243.4254112,243.3853585
4/9/2019 9:30,243.4013448,243.3547237
4/9/2019 9:40,243.375994,243.3150292
4/9/2019 9:50,243.3501672,243.2897705
4/9/2019 10:00,243.322981,243.2592351
4/9/2019 10:10,243.2922148,243.2214908
4/9/2019 10:20,243.2501313,243.1871439
4/9/2019 10:30,243.2136239,243.5655908
4/9/2019 10:40,243.1793193,243.813866
4/9/2019 10:50,243.1472645,244.0840079
4/9/2019 11:00,243.1179608,244.5399925
4/9/2019 11:10,243.0912666,244.9322996
4/9/2019 11:20,243.0617634,245.4320556
4/9/2019 11:30,243.0433218,246.0181217
4/9/2019 11:40,243.0194903,246.2876818
4/9/2019 11:50,242.9907878,246.6324559
4/9/2019 12:00,242.9647696,246.8420347
4/9/2019 12:10,242.944409,246.4669712
4/9/2019 12:20,242.9289801,269.3832684
4/9/2019 12:30,242.9147055,262.3599203
4/9/2019 12:40,242.9015398,236.4317339
4/9/2019 12:50,242.8843007,231.023136
4/9/2019 13:00,242.881703,218.5827378
4/9/2019 13:10,242.8640524,225.7586566
4/9/2019 13:20,242.851996,224.0079571
4/9/2019 13:30,242.8392642,254.1371286
4/9/2019 13:40,242.8252219,264.4858637
4/9/2019 13:50,242.8107543,238.8982788
4/9/2019 14:00,242.8004551,244.322496
4/9/2019 14:10,242.7929645,240.1614122
4/9/2019 14:20,242.7829607,240.8811789
4/9/2019 14:30,242.7702356,240.843049
4/9/2019 14:40,242.768107,240.6657085
4/9/2019 14:50,242.7639067,240.7463071
4/9/2019 15:00,242.7594022,240.9499171
4/9/2019 15:10,242.7503772,241.1303797
4/9/2019 15:20,242.745822,241.09403
4/9/2019 15:30,242.7402732,241.2465953
4/9/2019 15:40,242.7353246,241.383382
4/9/2019 15:50,242.7342901,241.498781
4/9/2019 16:00,242.7326703,241.5944458
4/9/2019 16:10,242.7335684,241.6608342
4/9/2019 16:20,242.7391262,241.7802934
4/9/2019 16:30,242.7389203,241.866866
4/9/2019 16:40,242.7424712,242.0894399
4/9/2019 16:50,242.7442682,242.3125568
4/9/2019 17:00,242.7289153,242.4789739
4/9/2019 17:10,242.73313,242.5636762
4/9/2019 17:20,242.7344344,242.6158333
4/9/2019 17:30,242.7385005,242.6494868
4/9/2019 17:40,242.7432333,242.6729204
4/9/2019 17:50,242.7374953,242.6693318
4/9/2019 18:00,242.741054,242.6829729
4/9/2019 18:10,242.7396048,242.6801315
4/9/2019 18:20,242.7288031,242.6699312
4/9/2019 18:30,242.7237716,242.6713405
4/9/2019 18:40,242.7252839,242.6627769
4/9/2019 18:50,242.7166795,242.6518929
4/9/2019 19:00,242.7044587,242.6863932
4/9/2019 19:10,242.7018163,242.6796704
4/9/2019 19:20,242.6999161,242.6782685
4/9/2019 19:30,242.6948729,242.668799
4/9/2019 19:40,242.6909699,242.6701336
4/9/2019 19:50,242.6795505,242.6611418
4/9/2019 20:00,242.6808303,242.6581169
4/9/2019 20:10,242.6754105,242.6493112
4/9/2019 20:20,242.6661389,242.6421266
4/9/2019 20:30,242.6582697,242.6308092
4/9/2019 20:40,242.6512022,242.6185066
4/9/2019 20:50,242.6370769,242.6049948
4/9/2019 21:00,242.62566,242.593039
4/9/2019 21:10,242.6105234,242.4594576
4/9/2019 21:20,242.6020347,242.4592176
4/9/2019 21:30,242.5988606,242.4521239
4/9/2019 21:40,242.5966404,242.45118
4/9/2019 21:50,242.5957269,242.4534792
4/9/2019 22:00,242.5958782,242.44944
4/9/2019 22:10,242.591728,242.4484093
4/9/2019 22:20,242.5915262,242.4418858
4/9/2019 22:30,242.5838945,242.4567543
4/9/2019 22:40,242.5773533,242.4251185
4/9/2019 22:50,242.5697161,242.4449245
4/9/2019 23:00,242.5695039,242.4175256
4/9/2019 23:10,242.5606314,242.4195473
4/9/2019 23:20,242.5446406,242.4037264
4/9/2019 23:30,242.5332261,242.3894421
4/9/2019 23:40,242.5175444,242.373121
4/9/2019 23:50,242.5041403,242.3634306
4/10/2019 0:00,242.4931705,242.3571539
4/10/2019 0:10,242.4752082,242.343027
4/10/2019 0:20,242.4589127,242.3332769
4/10/2019 0:30,242.4383279,242.3047033
4/10/2019 0:40,242.4152933,242.2889449
4/10/2019 0:50,242.3976288,242.2706444
4/10/2019 1:00,242.3669196,242.2476278
4/10/2019 1:10,242.3500988,242.2371651
4/10/2019 1:20,242.3292372,242.231252
4/10/2019 1:30,242.3071913,242.1914568
4/10/2019 1:40,242.2861837,242.1837135
4/10/2019 1:50,242.2588587,242.1614238
4/10/2019 2:00,242.2374843,242.1404878
4/10/2019 2:10,242.2120711,242.1166972
4/10/2019 2:20,242.1938781,242.093719
4/10/2019 2:30,242.1669928,242.0732154
4/10/2019 2:40,242.1412567,242.0422235
4/10/2019 2:50,242.1136081,242.0245291
4/10/2019 3:00,242.0855214,241.9984981
4/10/2019 3:10,242.0566233,241.96665
4/10/2019 3:20,242.0315804,241.9438148
4/10/2019 3:30,242.0037659,241.9327254
4/10/2019 3:40,241.9898957,241.9078921
4/10/2019 3:50,241.9775198,241.89467
4/10/2019 4:00,241.9613813,241.871082
4/10/2019 4:10,241.9557109,241.8675917
4/10/2019 4:20,241.9339941,241.8445873
4/10/2019 4:30,241.91675,241.8310646
4/10/2019 4:40,241.896178,241.800037
4/10/2019 4:50,241.8683012,241.7626272
4/10/2019 5:00,241.8866197,241.7349493
4/10/2019 5:10,241.8577223,241.7036032
4/10/2019 5:20,241.7934381,241.6743287
4/10/2019 5:30,241.7686205,241.6485105
4/10/2019 5:40,241.7474639,241.6329633
4/10/2019 5:50,241.7337162,241.6009617
4/10/2019 6:00,241.7136413,241.5713197
4/10/2019 6:10,241.6935576,241.5503457
4/10/2019 6:20,241.6661064,241.5131723
4/10/2019 6:30,241.6329628,241.4833246
4/10/2019 6:40,241.5976329,241.4360314
4/10/2019 6:50,241.5575371,241.4086766
4/10/2019 7:00,241.5193521,241.3608786
4/10/2019 7:10,241.4763694,241.3157145
4/10/2019 7:20,241.4327841,241.2766474
4/10/2019 7:30,241.3882741,241.2358619
4/10/2019 7:40,241.338083,241.1897607
4/10/2019 7:50,241.2932425,241.140103
4/10/2019 8:00,241.2489888,241.0944624
4/10/2019 8:10,241.1943838,241.0454451
4/10/2019 8:20,241.1461158,240.9954459
4/10/2019 8:30,241.0942485,240.9453677
4/10/2019 8:40,241.0510041,240.9027809
4/10/2019 8:50,241.01365,240.8475321
4/10/2019 9:00,240.9772353,240.8189676
4/10/2019 9:10,240.9394585,240.8787697
4/10/2019 9:20,240.9138505,240.8559149
4/10/2019 9:30,240.8942446,240.8160901
4/10/2019 9:40,240.8726001,240.7966509
4/10/2019 9:50,240.8496149,240.7607936
4/10/2019 10:00,240.8251737,240.7415882
4/10/2019 10:10,240.8141565,240.7253427
4/10/2019 10:20,240.7924733,241.162905
4/10/2019 10:30,240.7768691,241.4523604
4/10/2019 10:40,240.7669505,241.8678302
4/10/2019 10:50,240.7517253,242.345637
4/10/2019 11:00,240.7418187,242.7693114
4/10/2019 11:10,240.7325509,243.4088719
4/10/2019 11:20,240.7294221,244.1424295
4/10/2019 11:30,240.7192785,244.9033352
4/10/2019 11:40,240.713484,245.2156783
4/10/2019 11:50,240.7074995,245.3872789
4/10/2019 12:00,240.7060315,262.785596
4/10/2019 12:10,240.7035302,246.9739509
4/10/2019 12:20,240.7021086,231.6359492
4/10/2019 12:30,240.6940006,227.6737978
4/10/2019 12:40,240.6995689,228.4205875
4/10/2019 12:50,240.7000152,219.4446074
4/10/2019 13:00,240.698441,219.6508549
4/10/2019 13:10,240.7055705,219.2425289
4/10/2019 13:20,240.7190721,221.5175927
4/10/2019 13:30,240.7365914,221.990326
4/10/2019 13:40,240.7508767,222.8034067
4/10/2019 13:50,240.7719226,228.0907407
4/10/2019 14:00,240.7946296,234.4848157
4/10/2019 14:10,240.8188422,241.2339139
4/10/2019 14:20,240.8369927,243.930935
4/10/2019 14:30,240.8618609,240.1398787
4/10/2019 14:40,240.8767658,237.8760703
4/10/2019 14:50,240.8961813,238.1511423
4/10/2019 15:00,240.9156542,238.3639567
4/10/2019 15:10,240.9355477,238.6613309
4/10/2019 15:20,240.9477585,238.758249
4/10/2019 15:30,240.964565,238.8387334
